"passmisses";"goals";"outsides";"goalkicks";"passmisses_offside";"fast_attacks";"all_attacks";"leftwing_1stquarter_possession";"leftwing_2ndquarter_possession";"middlewing_1stquarter_possession";"middlewing_2ndquarter_possession";"middlewing_4thquarter_possession";"rightwing_3rdquarter_possession";"passchains";"GoalDifferenceEvaluator";"k"
15;3;3;0;4;9;11;31;47;45;102;165;139;9;2;7
16;0;4;1;2;6;11;35;118;27;108;50;95;11;0;7
21;4;5;1;7;9;11;73;45;20;147;108;72;9;4;7
17;4;5;2;4;6;14;44;35;22;210;150;27;13;4;7
15;1;5;1;3;10;13;88;77;30;111;149;101;19;1;7
14;3;6;2;1;5;8;53;68;16;107;150;27;13;3;7
12;3;8;0;4;6;10;69;53;33;82;61;48;14;3;7
14;1;9;1;2;8;12;42;66;58;126;129;100;19;1;7
16;0;6;3;0;4;6;103;112;26;63;67;76;15;0;7
19;1;4;0;4;6;14;83;114;43;134;180;55;16;1;7
14;3;4;0;2;4;8;41;25;39;91;197;38;17;3;7
9;6;6;0;2;11;12;82;38;51;51;181;62;12;6;7
9;4;5;0;1;9;10;85;47;26;92;192;102;11;4;7
19;6;3;1;3;9;12;48;64;16;102;122;118;19;6;7
15;3;3;0;2;8;13;70;54;71;168;92;245;15;3;7
14;3;6;0;1;9;10;52;70;13;148;63;192;11;3;7
15;3;4;2;0;5;9;50;80;8;159;129;83;14;3;7
13;1;9;2;1;7;13;83;97;15;102;53;86;8;1;7
15;4;0;0;3;11;14;34;69;7;111;106;96;16;4;7
16;3;8;1;5;8;10;66;96;14;136;140;96;19;2;7
10;3;2;0;3;7;11;36;25;4;88;127;42;11;3;7
26;2;4;2;4;7;12;43;36;10;115;111;110;15;2;7
14;4;4;0;2;10;12;67;56;23;188;91;117;16;4;7
11;2;2;0;2;9;11;51;28;0;51;114;75;10;2;7
15;2;2;0;3;7;10;41;53;40;120;181;40;11;2;7
18;3;4;0;3;5;13;37;96;19;120;142;166;9;2;7
17;3;5;0;3;9;14;44;51;13;115;107;132;13;3;7
21;1;6;1;6;10;12;16;111;40;118;143;79;15;1;7
14;0;7;0;2;7;8;75;52;31;43;90;24;8;0;7
18;0;4;0;5;7;9;94;31;19;140;61;277;15;0;7
19;2;4;0;1;12;13;63;95;38;124;165;56;14;1;7
20;0;6;0;1;6;9;62;114;6;114;52;155;19;0;7
20;4;9;0;5;10;11;41;79;6;82;142;75;14;4;7
12;0;7;3;4;7;10;51;89;5;73;179;92;11;0;7
9;4;6;0;2;6;9;42;66;15;137;95;7;18;4;7
12;2;6;0;3;8;9;45;3;15;168;60;63;10;2;7
15;5;2;0;1;4;8;103;49;0;110;159;6;13;5;7
10;3;10;2;2;3;7;12;21;11;100;134;87;14;3;6
20;1;9;0;1;5;7;18;72;8;122;82;174;15;1;6
12;3;7;2;3;9;11;26;50;0;55;87;132;10;2;6
12;3;6;1;1;5;12;8;43;24;81;151;162;17;3;6
11;4;8;0;1;7;10;35;17;10;93;184;63;12;4;6
12;3;7;0;2;9;11;0;0;7;88;107;128;9;3;6
10;3;4;1;1;10;12;36;41;37;126;187;60;14;3;6
17;4;9;0;2;8;9;8;70;18;112;159;157;16;4;6
21;2;4;1;3;11;13;3;15;12;71;186;94;17;2;6
15;7;1;0;3;11;13;23;46;44;153;138;95;13;6;6
20;4;5;0;2;6;12;18;108;12;98;182;91;14;4;6
14;3;6;0;5;10;11;0;16;25;66;146;66;15;3;6
15;4;6;0;2;6;11;7;58;0;114;211;79;13;4;6
8;4;8;0;0;8;11;0;33;5;36;225;120;19;4;6
9;6;10;0;4;11;13;28;91;11;76;249;16;15;6;6
24;2;10;1;1;6;10;6;91;6;80;102;95;21;2;6
14;3;5;1;1;7;8;0;12;16;78;151;90;14;3;6
11;5;6;1;2;5;13;14;41;24;50;129;84;10;4;6
14;4;6;0;1;9;11;11;49;6;67;179;210;18;4;6
9;5;6;0;3;8;8;0;55;14;35;267;58;8;5;6
19;3;4;0;4;9;10;3;28;13;101;166;144;14;3;6
14;4;4;1;6;8;10;6;39;0;63;192;155;13;4;6
14;3;4;2;2;7;12;8;88;20;181;113;42;15;3;6
12;7;7;0;1;8;9;25;43;3;78;157;161;18;7;6
18;2;3;1;3;9;14;24;91;16;83;133;103;17;2;6
9;3;3;1;1;8;11;0;33;23;87;147;42;16;3;6
13;2;7;0;4;8;11;16;34;16;99;186;77;19;2;6
17;4;5;0;4;10;13;11;99;3;114;156;114;16;4;6
15;2;7;0;2;10;14;0;24;13;91;115;145;16;2;6
12;0;7;1;1;7;9;9;38;14;62;49;187;10;0;6
8;4;7;1;1;7;10;0;71;35;80;109;15;10;4;6
9;2;6;0;1;10;11;14;14;20;141;125;121;14;1;6
17;2;7;3;4;8;12;10;107;7;85;130;76;14;1;6
13;1;5;0;1;12;13;31;20;22;106;149;218;16;1;6
8;4;4;0;0;6;10;8;50;25;73;114;74;13;3;6
16;3;8;0;3;11;15;0;58;8;74;169;137;16;2;6
17;3;5;1;3;7;13;17;99;11;140;95;28;10;3;6
16;4;4;0;3;9;14;23;63;12;98;271;93;15;4;6
19;4;2;1;0;6;12;26;85;11;100;160;60;15;4;6
17;4;7;0;3;10;15;9;108;9;156;118;18;16;4;6
15;1;6;2;3;7;12;0;28;32;167;95;106;15;1;6
12;4;7;1;1;7;9;44;56;0;12;213;62;10;4;6
11;5;5;0;2;12;16;10;18;19;123;244;113;19;5;6
8;6;7;1;0;8;10;35;33;15;140;178;31;13;6;6
17;3;6;0;2;8;13;15;46;10;49;118;103;14;3;6
18;2;5;0;3;7;10;14;35;22;85;167;56;14;2;6
10;5;6;0;0;9;11;26;34;5;54;115;100;12;5;6
9;6;8;0;2;7;8;15;13;19;125;149;142;15;5;6
23;3;4;0;3;8;12;22;41;31;144;179;184;19;3;6
12;5;9;2;2;10;11;18;52;11;112;203;39;14;5;6
9;3;8;1;1;11;15;21;84;7;62;239;101;14;3;6
21;2;6;1;5;9;12;0;35;17;70;220;60;16;2;6
11;4;5;0;2;8;10;33;62;11;116;154;239;21;4;6
15;4;6;0;0;9;12;9;9;0;107;233;34;15;4;6
15;7;4;0;3;8;16;0;0;12;59;297;158;17;7;6
16;2;7;0;1;7;10;12;42;17;88;141;30;12;0;6
