;attacks_BROKEN;attacks_FAST;attacks_MEDIUM;attacks_SLOW;attacks_total;dominance_leftwing_1stquarter;dominance_leftwing_2ndquarter;dominance_leftwing_3rdquarter;dominance_leftwing_4thquarter;dominance_middlewing_1stquarter;dominance_middlewing_2ndquarter;dominance_middlewing_3rdquarter;dominance_middlewing_4thquarter;dominance_rightwing_1stquarter;dominance_rightwing_2ndquarter;dominance_rightwing_3rdquarter;dominance_rightwing_4thquarter;goalmisses;goalmisses_GOALIE_CATCHED;goalmisses_OUTSIDE;goalmisses_kickedfrom_FAR_SHOT;goalmisses_kickedfrom_GOAL_AREA;goalmisses_kickedfrom_PENALTY_AREA;goalopportunities;goals;goals_kickedfrom_FAR_SHOT;goals_kickedfrom_GOAL_AREA;goals_kickedfrom_PENALTY_AREA;goalssuffered;passchains;passes;passmisses;timein_leftwing_1stquarter;timein_leftwing_2ndquarter;timein_leftwing_3rdquarter;timein_leftwing_4thquarter;timein_middlewing_1stquarter;timein_middlewing_2ndquarter;timein_middlewing_3rdquarter;timein_middlewing_4thquarter;timein_rightwing_1stquarter;timein_rightwing_2ndquarter;timein_rightwing_3rdquarter;timein_rightwing_4thquarter;wingchanges;wingchanges_partialvariation;wingchanges_totalvariation
2006
AT-Humboldt;4;2;3;0;9;0.09740259;0.32116787;0.48;0.34317345;0.36285095;0.54692554;0.54268295;0.4328358;0.18045113;0.22701149;0.33760685;0.5578948;0;0;0;0;0;0;1;0;0;0;0;1;15;93;36;0.0478927203065;0.140485312899;0.122605363985;0.0593869731801;0.107279693487;0.215836526181;0.0568326947637;0.0185185185185;0.0459770114943;0.100893997446;0.0504469987229;0.0338441890166;17;17;0

DAINAMITE;4;8;0;0;12;0.29530201;0.4330218;0.25431034;0.59154926;0.38961037;0.3221154;0.4755784;0.44201313;0.15135135;0.4953846;0.49594814;0.52579033;9;8;1;3;0;6;13;1;0;0;1;1;21;122;60;0.0206572769953;0.0652582159624;0.0553990610329;0.118309859155;0.0281690140845;0.0629107981221;0.173708920188;0.0948356807512;0.0131455399061;0.0755868544601;0.143661971831;0.148356807512;9;9;0
CZU;8;5;1;0;14;0.23460897;0.25769854;0.28307692;0.43243244;0.20787746;0.3007712;0.3221154;0.33116882;0.3826291;0.5387931;0.36760124;0.44295303;3;2;1;1;0;2;4;1;0;0;1;1;13;93;30;0.0890713834491;0.100442198358;0.0581174984207;0.0505369551485;0.0600126342388;0.147820593809;0.0846493998737;0.0322173089071;0.102969046115;0.157927984839;0.074542008844;0.0416929879975;19;19;0

DAINAMITE;3;4;0;0;7;0.05769231;0.7980769;0.8013308;0.8538588;0.0;0.4107143;0.48033707;0.30232557;0.44736843;0.648;0.6957708;0.4155844;0;0;0;0;0;0;0;0;0;0;0;4;26;258;66;0.000884433962264;0.0489386792453;0.497051886792;0.153301886792;0.0;0.0474646226415;0.0504127358491;0.00383254716981;0.00501179245283;0.0238797169811;0.150353773585;0.0188679245283;20;20;0
Ri-one_2006;2;7;0;0;9;0.17532467;0.11459754;0.016;0.0;0.11627908;0.19101124;0.3877551;0.61363636;0.0082101804;0.08127377;0.009615385;0.05769231;1;0;1;0;0;1;9;4;0;0;4;0;2;40;38;0.045;0.14;0.00333333333333;0.0;0.00833333333333;0.113333333333;0.253333333333;0.135;0.00833333333333;0.285;0.00333333333333;0.005;7;7;0

Incredibles;4;17;4;0;25;0.4050633;0.60456276;0.797227;0.71779144;0.24390244;0.18181818;0.27887789;0.19133574;0.19745224;0.37459286;0.72210526;0.69397995;8;8;0;4;0;4;9;1;0;0;1;1;12;104;64;0.013174145739;0.0654590366406;0.189378344998;0.192671881433;0.028818443804;0.0469328941951;0.069575957184;0.0218196788802;0.0127624536846;0.0473445862495;0.14121037464;0.170852202552;21;21;0
Oxsy;12;7;1;0;20;0.11705686;0.16842106;0.4364821;0.50955414;0.4368231;0.58745872;0.50239235;0.46689896;0.07668712;0.18370884;0.09505703;0.1392405;3;3;0;1;0;2;10;1;0;0;1;1;13;83;21;0.0472334682861;0.0539811066127;0.0904183535762;0.0539811066127;0.0816464237517;0.240215924426;0.212550607287;0.0904183535762;0.0337381916329;0.0715249662618;0.0168690958165;0.00742240215924;6;6;0

Incredibles;3;14;0;0;17;0.40816326;0.3898305;0.451505;0.6504298;0.059322033;0.22873346;0.32352943;0.17241379;0.0;0.45882355;0.45833336;0.6605375;2;2;0;1;0;1;3;0;0;0;0;2;22;119;86;0.0100401606426;0.0692771084337;0.135542168675;0.113955823293;0.0035140562249;0.0607429718876;0.132530120482;0.0100401606426;0.0;0.058734939759;0.171184738956;0.234437751004;17;17;0
RoboSina;3;1;0;0;4;0.08769448;0.34946236;0.3764706;0.8842105;0.4913793;0.5588235;0.5330813;0.65254234;0.16332378;0.35117058;0.35028248;0.20408163;2;2;0;0;0;2;8;2;0;0;2;0;17;113;36;0.0349295774648;0.146478873239;0.0540845070423;0.047323943662;0.0321126760563;0.256901408451;0.158873239437;0.0433802816901;0.0321126760563;0.118309859155;0.0698591549296;0.0056338028169;16;16;0

Incredibles;11;7;0;0;18;0.4059406;0.6026059;0.49172577;0.50592888;0.20805368;0.30410654;0.42782608;0.26206896;0.13333334;0.4152824;0.33463036;0.44554455;2;2;0;2;0;0;3;0;0;0;0;0;18;124;68;0.0222947253942;0.100598151169;0.226209896683;0.139206090266;0.0168569874932;0.148994018488;0.133768352365;0.0206634040239;0.00326264274062;0.0679717237629;0.0467645459489;0.0734094616639;26;26;0
ZJUBase;3;1;1;0;5;0.21452145;0.41245136;0.20930233;0.0;0.48965515;0.38434784;0.43396225;0.44295303;0.13043478;0.27068558;0.15635179;0.32673267;1;1;0;0;0;1;4;0;0;0;0;0;3;56;16;0.0478292862399;0.0779985283297;0.046357615894;0.0;0.0522442972774;0.162619573216;0.287711552612;0.0485651214128;0.0485651214128;0.168506254599;0.0353200883002;0.0242825607064;7;7;0

Oxsy;12;8;1;0;21;0.20053476;0.25218912;0.437751;0.51181103;0.39799328;0.25400002;0.3572744;0.5102041;0.06354515;0.21515152;0.45132744;0.64670654;3;3;0;1;1;1;17;3;0;0;3;0;15;90;50;0.0462962962963;0.0888888888889;0.134567901235;0.0401234567901;0.0734567901235;0.0783950617284;0.11975308642;0.138888888889;0.0117283950617;0.0438271604938;0.157407407407;0.0666666666667;15;15;0
AT-Humboldt;5;1;5;0;11;0.19161678;0.2442478;0.6515151;0.7826087;0.26530611;0.33517494;0.62199997;0.3812709;0.18897638;0.2309237;0.57092823;0.50802143;4;4;0;3;0;1;1;0;0;0;0;3;15;89;37;0.016016016016;0.0690690690691;0.107607607608;0.117117117117;0.0585585585586;0.0910910910911;0.155655655656;0.0570570570571;0.012012012012;0.0575575575576;0.163163163163;0.0950950950951;9;9;0

Oxsy;11;8;0;0;19;1.0;0.740458;0.5445026;0.6405064;0.40758293;0.42916668;0.51101322;0.38333332;0.0;0.6946565;0.6930023;0.38095238;6;5;1;5;1;0;1;0;0;0;0;2;16;124;72;0.00242130750605;0.0469733656174;0.151089588378;0.122518159806;0.0416464891041;0.149636803874;0.224697336562;0.0334140435835;0.0;0.0440677966102;0.148668280872;0.0348668280872;24;24;0
Ri-one_2006;9;2;0;0;11;0.1005291;0.04740406;0.06870229;0.0;0.25;0.2290749;0.1625;0.15165877;0.10886076;0.11867365;0.022900765;0.0;3;3;0;3;0;0;4;2;0;0;2;0;7;52;44;0.0336283185841;0.0371681415929;0.0159292035398;0.0;0.0796460176991;0.36814159292;0.207079646018;0.0566371681416;0.0761061946903;0.120353982301;0.00530973451327;0.0;4;4;0

Oxsy;8;7;0;0;15;0.13898306;0.31290323;0.36842106;0.6820277;0.47692307;0.5412088;0.3992095;0.39634148;0.024444444;0.16933638;0.26732674;0.6829269;4;4;0;0;0;4;11;3;0;0;3;0;12;68;52;0.0311787072243;0.0737642585551;0.0585551330798;0.112547528517;0.117870722433;0.149809885932;0.230418250951;0.0988593155894;0.00836501901141;0.0562737642586;0.0410646387833;0.0212927756654;7;7;0
RoboSina;4;5;1;0;10;0.12195122;0.45049507;0.6270023;0.6555556;0.30792683;0.37154152;0.31318682;0.24923077;0.013824885;0.2583732;0.56129032;0.59322037;8;8;0;1;0;7;6;0;0;0;0;3;11;69;30;0.00303214069133;0.0551849605822;0.166161309885;0.178896300788;0.0612492419648;0.171012734991;0.0691328077623;0.0491206791995;0.0018192844148;0.0327471194663;0.105518496058;0.106124924196;5;5;0

Ri-one_2006;4;3;0;0;7;0.078028746;0.053866205;0.0;0.0;0.10344828;0.20209059;0.30057802;0.63095238;0.2905983;0.124432335;0.11627908;0.0;0;0;0;0;0;0;4;3;1;0;2;0;8;59;58;0.0623973727422;0.101806239737;0.0;0.0;0.00492610837438;0.190476190476;0.256157635468;0.0870279146141;0.055829228243;0.224958949097;0.0164203612479;0.0;6;6;0
Incredibles;9;4;0;0;13;0.0;0.7325581;0.7456857;0.16239317;0.10714286;0.33333336;0.6689896;0.44827587;0.0;0.72;0.8523024;0.5811088;0;0;0;0;0;0;0;0;0;0;0;3;26;198;20;0.0;0.0222143864598;0.289492242595;0.00669957686883;0.00317348377997;0.0610014104372;0.135401974612;0.00458392101551;0.0;0.0317348377997;0.345909732017;0.0997884344147;32;32;0

Ri-one_2006;3;15;0;0;18;0.22857143;0.09523809;0.023696682;0.0;0.15384616;0.28821655;0.32799324;0.53347733;0.04580153;0.11944445;0.0;0.14285715;3;2;1;1;0;2;17;10;0;0;10;1;7;70;86;0.00804020100503;0.0562814070352;0.00502512562814;0.0;0.0120603015075;0.181909547739;0.390954773869;0.24824120603;0.00603015075377;0.086432160804;0.0;0.00502512562814;10;10;0
RoboSina;6;2;0;0;8;0.45714287;0.8963964;0.5722222;0.61832058;0.1274298;0.47807755;0.4681529;0.6282051;0.675;0.8056872;0.6870748;0.5714286;0;0;0;0;0;0;2;1;0;1;0;10;17;129;43;0.00696257615318;0.0865970409051;0.179286335944;0.0352480417755;0.0256744995648;0.246736292428;0.127937336815;0.0213228894691;0.0117493472585;0.0739773716275;0.175805047868;0.00870322019147;32;32;0

RoboSina;3;4;1;0;8;0.8333333;0.31690142;0.55113636;0.8451613;0.19444445;0.41685143;0.46632996;0.52499996;0.10993377;0.1923621;0.4317073;0.78048775;1;1;0;0;0;1;11;3;0;0;3;0;13;73;48;0.00312304809494;0.0281074328545;0.0605871330418;0.0818238600874;0.00437226733292;0.11742660837;0.17301686446;0.144284821986;0.051842598376;0.0849469081824;0.110555902561;0.139912554653;6;6;0
AT-Humboldt;5;5;2;0;12;0.16376307;0.4414634;0.5940594;0.4543046;0.14545454;0.26767677;0.3791574;0.27777779;0.09677419;0.375;0.44366196;0.0;0;0;0;0;0;0;1;0;0;0;0;3;15;85;26;0.0305393112411;0.117608836907;0.272904483431;0.222871994802;0.0415854450942;0.103313840156;0.111111111111;0.00649772579597;0.00974658869396;0.0428849902534;0.0409356725146;0.0;7;7;0

RoboSina;4;4;2;0;10;0.09160306;0.24181818;0.43260185;0.0;0.33962265;0.4315197;0.44696968;0.40076336;0.06818182;0.31376976;0.5;0.5067751;3;3;0;1;1;1;7;1;0;0;1;4;16;105;74;0.0134003350084;0.0742601898381;0.0770519262982;0.0;0.0502512562814;0.256839754327;0.164712451145;0.0586264656616;0.00670016750419;0.0776102735902;0.116136236739;0.104410943607;19;19;0
CZU;6;7;0;0;13;0.1897019;0.38942307;0.38148983;0.57386364;0.2519084;0.29393938;0.38555347;0.35849056;1.0;0.27899685;0.55454548;0.53435116;2;2;0;1;0;1;8;4;0;0;4;1;12;113;31;0.0385250412768;0.0891579526692;0.0930104567969;0.0555861309851;0.0363236103467;0.10676940011;0.226197028068;0.05228398459;0.00825536598789;0.0489818381948;0.16785910842;0.0770500825537;22;22;0

RoboSina;3;3;0;0;6;0.005063291;0.22038567;0.49859943;0.59813084;0.24864864;0.36092716;0.5245642;0.8081396;0.04776119;0.18181818;0.3958869;0.47826088;0;0;0;0;0;0;4;1;0;0;1;1;10;64;58;0.0012853470437;0.0514138817481;0.114395886889;0.0411311053985;0.0295629820051;0.210154241645;0.212724935733;0.0893316195373;0.0102827763496;0.0771208226221;0.098971722365;0.0636246786632;9;9;0
DAINAMITE;4;5;0;0;9;0.17391304;0.47814907;0.5969697;0.8776119;0.069767447;0.34548336;0.47792496;0.34594597;0.09345795;0.28851542;0.5482094;0.7746835;2;2;0;1;0;1;2;1;0;0;1;1;18;121;27;0.0159645232816;0.0824833702882;0.174722838137;0.130376940133;0.00532150776053;0.0966740576497;0.192017738359;0.0283813747228;0.00443458980044;0.0456762749446;0.0882483370288;0.135698447894;10;10;0

RoboSina;5;2;1;0;8;0.27710842;0.2761905;0.34782608;0.42028984;0.2752809;0.31924883;0.53984577;0.5714286;0.14084508;0.30114943;0.4901478;0.7295597;0;0;0;0;0;0;5;1;0;0;1;2;6;96;52;0.0153538050734;0.0967957276368;0.106809078772;0.0580774365821;0.0327102803738;0.181575433912;0.140186915888;0.064085447263;0.00667556742323;0.0874499332443;0.132843791722;0.0774365821095;7;7;0
ZJUBase;9;5;0;0;14;0.09433963;0.27339903;0.3908046;0.6619718;0.17261904;0.22365038;0.38380283;0.4213483;0.2173913;0.46304348;0.42285713;0.3373494;1;1;0;1;0;0;6;2;0;0;2;1;2;39;18;0.0109569028488;0.0810810810811;0.124178232286;0.0343316289262;0.0211833455077;0.063550036523;0.238860482104;0.054784514244;0.0328707085464;0.155588020453;0.162162162162;0.0204528853178;7;7;0

ZJUBase;7;7;0;0;14;0.1718213;0.20622568;0.37297295;0.325;0.30136988;0.3422983;0.45790253;0.3968254;0.22509224;0.45309734;0.38633194;0.49723755;1;0;1;1;0;0;4;1;0;0;1;0;9;62;28;0.0335120643432;0.0355227882038;0.0462466487936;0.0261394101877;0.014745308311;0.0938337801609;0.207774798928;0.0837801608579;0.0408847184987;0.171581769437;0.185656836461;0.0603217158177;5;5;0
AT-Humboldt;2;3;0;0;5;0.18232044;0.28312412;0.28849558;0.3616236;0.30158731;0.43426884;0.51589245;0.21917809;0.20833332;0.27027025;0.61478596;0.44329895;1;1;0;1;0;0;3;0;0;0;0;1;18;111;33;0.0223728813559;0.137627118644;0.110508474576;0.0664406779661;0.064406779661;0.199322033898;0.143050847458;0.0108474576271;0.0169491525424;0.0338983050847;0.107118644068;0.0874576271186;11;11;0

ZJUBase;12;3;0;0;15;0.15714286;0.31756756;0.24107143;0.04347826;0.23636364;0.5104;0.46238937;0.45098038;0.09974093;0.29565218;0.21368948;0.24553572;1;1;0;0;0;1;5;0;0;0;0;1;4;60;44;0.0165537998495;0.0707298720843;0.020316027088;0.00225733634312;0.0489089541008;0.240030097818;0.15726109857;0.0692249811889;0.0579382994733;0.179082016554;0.0963130173062;0.0413844996238;5;5;0
DAINAMITE;4;9;0;0;13;0.21875;0.5008347;0.52173912;0.5984456;0.19117647;0.28539825;0.2576;0.47636364;0.072463765;0.58035713;0.5405405;0.6928571;1;1;0;1;0;0;5;1;0;0;1;0;21;129;33;0.0242814667988;0.148662041625;0.208126858276;0.228939544103;0.0193260654113;0.0639246778989;0.0797819623389;0.0649157581764;0.00247770069376;0.0322101090188;0.0792864222002;0.0480673934589;5;5;0

ZJUBase;6;3;3;0;12;0.28318584;0.35737705;0.43781097;0.4537815;0.21705427;0.24576271;0.51322754;0.31678486;0.17857143;0.30517712;0.46410255;0.50569473;4;4;0;3;0;1;8;2;0;0;2;2;3;44;48;0.0229062276306;0.0780243378669;0.0629921259843;0.0386542591267;0.0200429491768;0.0830350751611;0.208303507516;0.0959198282033;0.0214745884037;0.0801717967072;0.129563350036;0.158911954188;4;4;0
Oxsy;9;7;0;0;16;0.18451025;0.22564102;0.23705723;0.35714287;0.37825058;0.40564373;0.45974575;0.3643411;0.042016807;0.17412935;0.19016394;0.44247787;2;2;0;1;0;1;3;2;0;0;2;2;8;60;31;0.0724508050089;0.0787119856887;0.0778175313059;0.0536672629696;0.143112701252;0.20572450805;0.194096601073;0.0420393559928;0.00447227191413;0.0313059033989;0.0518783542039;0.0447227191413;9;9;0


Group F
AmoiensisNQ;6;3;0;0;9;0.23966942;0.30406853;0.55897438;0.32110092;0.25581396;0.4461153;0.38358776;0.1092437;0.24291498;0.36336334;0.53477215;0.46478874;5;5;0;5;0;0;1;0;0;0;0;0;9;86;68;0.0385126162019;0.0942895086321;0.217131474104;0.0232403718459;0.0146082337317;0.118193891102;0.133466135458;0.00863213811421;0.0796812749004;0.0803452855246;0.14807436919;0.0438247011952;30;30;0
FCPortugal2006;5;4;2;0;11;0.11971831;0.17026379;0.26426426;0.36032387;0.33613445;0.26717558;0.2631579;0.23255816;0.073394494;0.14529915;0.53747326;0.59090908;4;4;0;1;0;3;3;0;0;0;0;0;5;46;41;0.0148342059337;0.0619546247818;0.0767888307155;0.155322862129;0.0349040139616;0.122164048866;0.0916230366492;0.0174520069808;0.00698080279232;0.0741710296684;0.219022687609;0.124781849913;9;9;0

AmoiensisNQ;4;5;0;0;9;0.019125683;0.35135136;0.57943924;0.6584158;0.22222223;0.30555555;0.20334929;0.33653847;0.12322274;0.50212765;0.35353535;0.6184211;1;1;0;1;0;0;4;2;0;0;2;4;5;57;38;0.00642791551882;0.107438016529;0.170798898072;0.122130394858;0.0532598714417;0.222222222222;0.0780532598714;0.0321395775941;0.0238751147842;0.108356290174;0.0321395775941;0.0431588613407;20;20;0
WE2006;1;8;0;0;9;0.05263158;0.15151516;0.30212767;0.6919431;0.1923077;0.5478469;0.45959595;0.47126434;0.11386139;0.18068535;0.3003003;0.57923496;3;2;1;0;0;3;10;4;0;0;4;2;14;93;30;0.0029304029304;0.010989010989;0.0520146520147;0.10695970696;0.014652014652;0.167765567766;0.266666666667;0.0901098901099;0.0168498168498;0.0424908424908;0.0732600732601;0.155311355311;21;21;0

Brainstormers06;2;9;1;0;12;0.4054054;0.49377594;0.375;0.3689655;0.0;0.8307693;0.449827;0.53383457;0.0;0.26975477;0.29690048;0.39657284;4;3;1;2;0;2;14;2;0;0;2;0;6;55;40;0.0240963855422;0.0955823293173;0.103614457831;0.0859437751004;0.0;0.0433734939759;0.104417670683;0.0570281124498;0.0;0.0795180722892;0.146184738956;0.260240963855;11;11;0
AmoiensisNQ;6;2;0;0;8;0.2741738;0.45187603;0.4359673;0.49295773;0.2255639;0.29065742;0.0;0.0;0.13103448;0.29360464;0.31120333;0.25675674;0;0;0;0;0;0;0;0;0;0;0;2;4;48;15;0.214765100671;0.265580057526;0.153403643337;0.0335570469799;0.0287631831256;0.0805369127517;0.0;0.0;0.0364333652924;0.0968360498562;0.071907957814;0.0182166826462;3;3;0

Brainstormers06;11;10;0;0;21;0.18305084;0.4325069;0.5062241;0.31081081;0.442029;0.26086956;0.33408073;0.324;0.12222222;0.34246574;0.45652176;0.41600002;4;3;1;3;0;1;12;0;0;0;0;0;9;69;44;0.0354098360656;0.102950819672;0.24;0.0603278688525;0.04;0.0393442622951;0.0977049180328;0.0531147540984;0.0144262295082;0.0491803278689;0.165245901639;0.102295081967;5;5;0
Mersad;2;9;0;0;11;0.19466667;0.33876812;0.3607306;0.30555555;0.368;0.529148;0.49130432;0.26811594;0.375;0.2461964;0.27272728;0.440678;1;1;0;1;0;0;1;0;0;0;0;0;13;101;42;0.0525179856115;0.134532374101;0.0568345323741;0.0395683453237;0.0661870503597;0.169784172662;0.0812949640288;0.026618705036;0.0798561151079;0.128057553957;0.0712230215827;0.0935251798561;12;12;0

Brainstormers06;5;8;0;1;14;0.23655914;0.16071428;0.21072798;0.4206696;0.0;0.54545456;0.30000002;0.33887043;0.7317073;0.51794876;0.39285713;0.32098763;4;3;1;0;1;3;14;3;1;0;2;0;6;54;48;0.0207351555137;0.0424128180961;0.103675777568;0.272384542884;0.0;0.0395852968897;0.0819981149859;0.0961357210179;0.0282752120641;0.0951932139491;0.0725730442978;0.147031102733;10;10;0
YowAI2006;3;1;0;0;4;0.14609054;0.27040815;0.24615385;0.0;0.24252493;0.31379309;0.24675325;0.7142857;0.14847161;0.4827586;0.6142857;0.4516129;0;0;0;0;0;0;2;0;0;0;0;3;3;39;20;0.0765086206897;0.0571120689655;0.051724137931;0.0;0.0786637931034;0.0980603448276;0.020474137931;0.00538793103448;0.109913793103;0.271551724138;0.185344827586;0.0452586206897;7;7;0

FCPortugal2006;7;9;0;0;16;0.025974026;0.1779661;0.43137257;0.6813725;0.6428571;0.30571428;0.51082253;0.51748253;0.08212561;0.1583851;0.3222836;0.56739815;3;3;0;1;0;2;7;0;0;0;0;0;6;55;58;0.00152671755725;0.0641221374046;0.117557251908;0.212213740458;0.0137404580153;0.081679389313;0.0900763358779;0.0564885496183;0.0129770992366;0.0778625954198;0.13358778626;0.138167938931;14;14;0
SEU-2D;7;6;0;0;13;0.16300941;0.38674034;0.5916149;0.7149758;0.07692308;0.2077922;0.4542857;0.2857143;0.029411764;0.2577031;0.5148305;0.8311688;2;2;0;1;0;1;2;0;0;0;0;0;6;56;21;0.0364145658263;0.147058823529;0.266806722689;0.103641456583;0.00770308123249;0.0336134453782;0.111344537815;0.00560224089636;0.00840336134454;0.0644257703081;0.170168067227;0.0448179271709;5;5;0

Mersad;4;2;0;0;6;0.28947369;0.47877357;0.5766871;0.26344086;0.24615385;0.22253128;0.59713703;0.0;0.13414635;0.23913044;0.4855643;0.0;0;0;0;0;0;0;0;0;0;0;0;1;24;148;48;0.0293137908061;0.135243171219;0.250499666889;0.0326449033977;0.0106595602931;0.106595602931;0.19453697535;0.0;0.0219853431046;0.0952698201199;0.123251165889;0.0;11;11;0
FCPortugal2006;14;5;1;0;20;0.14942529;0.24671917;0.60367893;0.6504065;0.9;0.15746421;0.6036161;0.33846153;0.07526882;0.24693253;0.36084904;0.32236843;5;5;0;2;0;3;5;1;0;0;1;0;10;63;22;0.00840336134454;0.0607627666451;0.233354880414;0.103425985779;0.00581771170006;0.0497737556561;0.280542986425;0.0142210730446;0.00904977375566;0.10407239819;0.0989010989011;0.0316742081448;21;21;0

SEU-2D;3;2;1;0;6;0.25773195;0.3632;0.6178862;0.68164795;0.05;0.2674772;0.340625;0.046875;0.10526316;0.28676472;0.49295773;0.58849556;0;0;0;0;0;0;4;0;0;0;0;0;3;56;30;0.0347947112039;0.157967988866;0.31732776618;0.126652748782;0.00278357689631;0.0612386917189;0.0758524704245;0.00208768267223;0.00417536534447;0.027139874739;0.0974251913709;0.0925539318024;8;8;0
Mersad;2;3;0;0;5;0.09292035;0.31338028;0.45588234;0.36842106;0.390625;0.528125;0.47416412;0.4;0.071161046;0.20325203;0.3264;0.29381443;0;0;0;0;0;0;3;0;0;0;0;0;17;100;19;0.0208955223881;0.0885572139303;0.0616915422886;0.0208955223881;0.0248756218905;0.16815920398;0.155223880597;0.0318407960199;0.0189054726368;0.149253731343;0.202985074627;0.0567164179104;22;22;0

SEU-2D;4;3;0;0;7;0.18644068;0.31073444;0.5153374;0.8924731;0.134185295;0.34090908;0.2962963;0.1970803;0.07959183;0.3227017;0.3304904;0.33333336;1;1;0;1;0;0;7;2;0;0;2;1;1;46;46;0.0367892976589;0.0919732441472;0.140468227425;0.069397993311;0.0351170568562;0.112876254181;0.147157190635;0.0225752508361;0.0326086956522;0.14381270903;0.129598662207;0.0376254180602;4;4;0
YowAI2006;2;9;0;0;11;0.12592593;0.4328358;0.51969982;0.6122449;0.27737226;0.41582493;0.42171715;0.2715655;0.021505377;0.24539877;0.4548023;0.5381356;4;4;0;0;0;4;21;1;0;0;1;2;10;88;28;0.0099765258216;0.119131455399;0.162558685446;0.176056338028;0.0223004694836;0.144953051643;0.0980046948357;0.049882629108;0.00117370892019;0.0469483568075;0.0944835680751;0.0745305164319;17;17;0

TokyoTech2006;3;15;0;0;18;0.14516129;0.16309013;0.466877;0.7158635;0.2962963;0.4017094;0.4761905;0.55607475;0.38709675;0.3611111;0.4;0.68478264;6;5;1;1;1;4;33;5;0;0;4;0;10;70;38;0.00509915014164;0.0215297450425;0.0838526912181;0.403966005666;0.00453257790368;0.0266288951841;0.118980169972;0.0674220963173;0.00679886685552;0.0515580736544;0.0668555240793;0.142776203966;18;18;0
AmoiensisNQ;2;2;0;0;4;0.2146739;0.40677963;0.43253967;0.12903225;0.09813085;0.2585034;0.2735043;0.0;0.12851405;0.3943218;0.639485;0.37096775;1;1;0;1;0;0;0;0;0;0;1;5;5;52;20;0.087389380531;0.132743362832;0.120575221239;0.00442477876106;0.0232300884956;0.12610619469;0.0353982300885;0.0;0.141592920354;0.138274336283;0.16482300885;0.0254424778761;3;3;0

TokyoTech2006;6;4;1;0;11;0.09433963;0.25160255;0.44;0.372093;0.24369747;0.4290429;0.58499233;0.25179857;0.20295202;0.29617834;0.39430897;0.38926174;1;1;0;1;0;0;2;0;0;0;0;0;6;69;74;0.0336185819071;0.0959657701711;0.194987775061;0.0586797066015;0.0177261613692;0.158924205379;0.233496332518;0.0213936430318;0.0336185819071;0.0568459657702;0.0592909535452;0.0354523227384;9;9;0
Brainstormers06;1;11;0;0;12;0.3355705;0.3211382;0.45859875;0.4833948;0.22302158;0.17457886;0.37458744;0.4117647;0.25193798;0.3972414;0.46634613;0.62092625;1;1;0;1;0;0;3;0;0;0;0;0;10;85;32;0.0273074822501;0.0431458219552;0.0786455488804;0.0715456034954;0.0169306389951;0.0622610595303;0.123975969416;0.0267613326051;0.0354997269252;0.157291097761;0.158929546696;0.197706171491;17;17;0

TokyoTech2006;2;16;0;0;18;0.0;0.25095058;0.42685852;0.7060439;0.30188679;0.19642857;0.27121214;0.36746986;0.33870968;0.21415607;0.4484472;0.7161654;10;10;0;2;0;8;44;7;0;0;6;0;10;77;50;0.0;0.0355220667384;0.0958019375673;0.138320775027;0.00861141011841;0.0414424111948;0.0963401506997;0.0984930032293;0.0226049515608;0.0635091496233;0.194294940797;0.205059203445;14;14;0
YowAI2006;7;1;0;0;8;0.11090226;0.35900623;0.54990925;0.33064518;0.4417671;0.55303032;0.52295918;0.18867926;0.08791209;0.37170265;0.58935364;0.0;1;1;0;1;0;0;1;0;0;0;1;7;15;102;25;0.0321701199564;0.157579062159;0.165212649945;0.0223555070883;0.119956379498;0.199018538713;0.111777535442;0.00545256270447;0.0174482006543;0.0845147219193;0.0845147219193;0.0;19;19;0

WE2006;6;11;0;0;17;0.10416666;0.26710817;0.34875443;0.5862069;0.37121212;0.7131474;0.6115445;0.6987448;0.15121952;0.21068249;0.35031845;0.49166668;2;1;1;0;0;2;28;7;0;0;7;1;20;118;28;0.0110619469027;0.0669247787611;0.108407079646;0.10342920354;0.0271017699115;0.0990044247788;0.216814159292;0.184734513274;0.0171460176991;0.0392699115044;0.0608407079646;0.0652654867257;28;28;0
SEU-2D;7;2;2;0;11;0.06666667;0.4140127;0.45994064;0.6439024;0.08158996;0.17316692;0.08366534;0.38636364;0.16300941;0.4483986;0.49668877;0.50520832;1;1;0;0;0;1;4;1;0;0;1;7;4;47;15;0.0124902419984;0.101483216237;0.12099921936;0.103044496487;0.0304449648712;0.0866510538642;0.016393442623;0.03981264637;0.0405932864949;0.196721311475;0.175644028103;0.0757220921155;7;7;0

WE2006;8;4;0;0;12;0.15360983;0.29936304;0.43333332;0.556338;0.37704918;0.61976044;0.6802575;0.56809338;0.14356436;0.36994217;0.50252525;0.81920906;0;0;0;0;0;0;9;0;0;0;0;0;16;111;28;0.0537345513165;0.101020956475;0.0838259000537;0.04245029554;0.0741536808168;0.111230521225;0.170338527673;0.0784524449221;0.0311660397636;0.0687802256851;0.10693175712;0.0779150994089;19;19;0
