;attacks_BROKEN;attacks_FAST;attacks_MEDIUM;attacks_SLOW;attacks_total;dominance_leftwing_1stquarter;dominance_leftwing_2ndquarter;dominance_leftwing_3rdquarter;dominance_leftwing_4thquarter;dominance_middlewing_1stquarter;dominance_middlewing_2ndquarter;dominance_middlewing_3rdquarter;dominance_middlewing_4thquarter;dominance_rightwing_1stquarter;dominance_rightwing_2ndquarter;dominance_rightwing_3rdquarter;dominance_rightwing_4thquarter;goalmisses;goalmisses_GOALIE_CATCHED;goalmisses_OUTSIDE;goalmisses_kickedfrom_FAR_SHOT;goalmisses_kickedfrom_GOAL_AREA;goalmisses_kickedfrom_PENALTY_AREA;goalopportunities;goals;goals_kickedfrom_FAR_SHOT;goals_kickedfrom_GOAL_AREA;goals_kickedfrom_PENALTY_AREA;goalssuffered;passchains;passes;passmisses;timein_leftwing_1stquarter;timein_leftwing_2ndquarter;timein_leftwing_3rdquarter;timein_leftwing_4thquarter;timein_middlewing_1stquarter;timein_middlewing_2ndquarter;timein_middlewing_3rdquarter;timein_middlewing_4thquarter;timein_rightwing_1stquarter;timein_rightwing_2ndquarter;timein_rightwing_3rdquarter;timein_rightwing_4thquarter;wingchanges;wingchanges_partialvariation;wingchanges_totalvariation
2006
AmoiensisNQ;2;13;0;0;15;0.11363637;0.3316456;0.45424835;0.7286245;0.22596153;0.46041668;0.25523012;0.5;0.1627409;0.28172043;0.40294117;0.7314285;2;2;0;1;0;1;19;3;0;0;3;0;12;68;36;0.0248226950355;0.0929078014184;0.0985815602837;0.139007092199;0.0333333333333;0.156737588652;0.0432624113475;0.0765957446809;0.0539007092199;0.0929078014184;0.0971631205674;0.090780141844;19;19;0
SEU-2D;2;4;1;0;7;0.19428572;0.30588236;0.45376347;0.6531049;0.20833332;0.35983265;0.27083334;0.53365387;0.10037175;0.40522877;0.47341774;0.59090908;3;3;0;0;0;3;12;0;0;0;0;3;11;64;26;0.0219922380336;0.0672703751617;0.136481241915;0.197283311772;0.029107373868;0.0556274256145;0.0840879689521;0.0717981888745;0.0174644243208;0.0802069857697;0.120957309185;0.117723156533;8;8;0

Incredibles;2;21;1;0;24;0.069767447;0.35576923;0.5046555;0.7383562;0.68;0.60000004;0.3621795;0.56721313;1.0;0.42857143;0.4937833;0.59600616;10;9;1;0;1;9;25;0;0;0;0;0;17;94;40;0.00459887583035;0.0378129790496;0.138477261114;0.275421563618;0.00868676545733;0.0137966274911;0.0577414409811;0.0884006131834;0.00102197240675;0.0337250894226;0.142054164538;0.198262646909;25;25;0
SEU-2D;6;1;0;0;7;0.15821813;0.40497337;0.26623377;0.0;0.09836065;0.31410255;0.15555556;0.32;0.11917808;0.37243946;0.47596153;0.7829458;0;0;0;0;0;0;0;0;0;0;0;0;5;44;22;0.102794411178;0.22754491018;0.0409181636727;0.0;0.0299401197605;0.0978043912176;0.00698602794411;0.00798403193613;0.0868263473054;0.199600798403;0.0988023952096;0.100798403194;4;4;0

Ri-one_2006;4;2;0;0;6;0.13888889;0.07364787;0.05479452;0.0;0.14285715;0.22448978;0.20689655;0.42105263;0.10526316;0.0587792;0.007017544;0.0;1;1;0;1;0;0;2;0;0;0;0;0;2;41;82;0.0618556701031;0.131958762887;0.00824742268041;0.0;0.0185567010309;0.362886597938;0.160824742268;0.0329896907216;0.0577319587629;0.160824742268;0.00412371134021;0.0;8;8;0
AmoiensisNQ;3;4;0;1;8;1.0;0.8385965;0.8018086;0.63909775;0.23684212;0.56498676;0.60841835;0.50793655;0.10714286;0.38356163;0.7318757;0.5092593;1;1;0;1;0;0;1;0;0;0;0;0;28;189;33;0.00864649151979;0.0794812105088;0.353841037579;0.0565347522448;0.00299301629531;0.070834718989;0.158629863651;0.0106418357167;0.000997672098437;0.00931160625208;0.211506484869;0.036581310276;35;35;0

SEU-2D;1;0;0;0;1;1.0;0.40677963;0.6597077;0.28813559;0.0;0.46674183;0.5109489;0.9230769;0.0;0.61087864;0.6515901;0.5625;0;0;0;0;0;0;0;0;0;0;0;9;9;104;42;0.00584269662921;0.0107865168539;0.14202247191;0.0076404494382;0.0;0.18606741573;0.125842696629;0.00539325842697;0.0;0.0656179775281;0.414382022472;0.036404494382;12;12;0
Ri-one_2006;1;10;0;0;11;0.0625;0.10388693;0.012552302;0.0;0.0;0.16605839;0.24239008;0.72830185;0.18644068;0.15448852;0.10169491;0.0;1;1;0;1;0;0;15;9;0;0;9;0;12;56;38;0.0120160213618;0.196261682243;0.00400534045394;0.0;0.0;0.121495327103;0.287049399199;0.257676902537;0.0146862483311;0.0987983978638;0.00801068090788;0.0;6;6;0


Group C
AT-Humboldt;1;4;1;0;6;0.12;0.259366;0.3211382;0.16176472;0.3110368;0.6500829;0.59472816;0.08;0.2019544;0.5;0.31985294;0.23155216;6;6;0;5;0;1;0;0;0;0;1;1;15;91;60;0.0159786950732;0.0599201065246;0.105193075899;0.00732356857523;0.0619174434088;0.260985352863;0.24034620506;0.00266311584554;0.0412782956059;0.0858854860186;0.0579227696405;0.060585885486;9;9;0
CZU;5;8;0;0;13;0.41984734;0.52941177;0.4534884;0.5863192;0.0;0.17462933;0.22222223;0.29431438;0.27941175;0.37398373;0.46974064;0.635;7;4;3;0;0;7;6;1;0;0;0;0;12;78;18;0.115627189909;0.100911002102;0.0819901892081;0.126138752628;0.0;0.0742817098809;0.093903293623;0.0616678346181;0.0133146461107;0.12894183602;0.114225648213;0.0889978976875;11;11;0

AT-Humboldt;3;5;1;0;9;0.03937008;0.3797468;0.62692844;0.4920635;0.09440559;0.516129;0.7062801;0.34763947;0.34146343;0.5609756;0.59452057;0.3293651;1;1;0;1;0;0;2;0;0;0;0;0;18;107;36;0.00214684413912;0.0257621296694;0.191927866037;0.119793902963;0.0115929583512;0.109918419923;0.313868613139;0.0347788750537;0.012022327179;0.0493774151997;0.0931730356376;0.0356376127093;14;14;0
Mersad;8;4;0;0;12;0.25793652;0.2547945;0.28292683;0.5487805;0.24034334;0.2173913;0.41532257;0.61188812;0.16049381;0.18092567;0.5949367;0.8818897;3;2;1;0;0;3;7;0;0;0;0;0;13;91;17;0.0481838398814;0.0689399555226;0.0429948109711;0.0333580429948;0.0415122312824;0.166790214974;0.152705707932;0.129725722758;0.067457375834;0.0956263899185;0.0696812453669;0.0830244625649;10;10;0

Mersad;6;5;1;0;12;0.15789473;0.09309309;0.3375959;0.34983498;0.4810127;0.4522293;0.63058823;0.63013695;0.28070175;0.29357798;0.29866665;0.23255816;7;7;0;4;0;3;3;0;0;0;0;0;24;153;68;0.0104408352668;0.0179814385151;0.07656612529;0.0614849187935;0.0220417633411;0.205916473318;0.31090487239;0.0800464037123;0.0278422273782;0.092807424594;0.0649651972158;0.0290023201856;19;19;0
CZU;9;3;0;0;12;0.2139535;0.45333336;0.40183487;0.25730995;0.00913242;0.21529411;0.31974522;0.0886076;0.339934;0.5089514;0.5045045;0.48245613;0;0;0;0;0;0;1;0;0;0;0;0;18;95;15;0.0317899101589;0.117484450587;0.151347615757;0.030407740152;0.00138217000691;0.126468555632;0.173462335867;0.00483759502419;0.0711817553559;0.137525915688;0.116102280581;0.03800967519;26;26;0

Mersad;0;2;0;0;2;0.1337386;0.37905235;0.39914165;0.59829063;0.23904383;0.35586735;0.7202703;0.0;0.074906363;0.23096447;0.3188406;0.0;0;0;0;0;0;0;0;0;0;0;0;5;23;159;54;0.0615384615385;0.106293706294;0.065034965035;0.048951048951;0.041958041958;0.195104895105;0.372727272727;0.0;0.013986013986;0.0636363636364;0.0307692307692;0.0;20;20;0
TokyoTech2006;9;6;0;1;16;0.5;0.57971012;0.7081219;0.62546818;0.0;0.10945946;0.4732143;0.37051792;0.1965812;0.39484978;0.43142147;0.6778116;1;1;0;0;0;1;15;5;0;0;5;0;13;91;13;0.00276243093923;0.0441988950276;0.154143646409;0.0922651933702;0.0;0.0447513812155;0.204972375691;0.0513812154696;0.0127071823204;0.0508287292818;0.0955801104972;0.246408839779;32;32;0

TokyoTech2006;5;17;1;0;23;0.49659863;0.46170677;0.57669617;0.57374104;0.13333334;0.13741721;0.2372093;0.39433964;0.09589041;0.15476191;0.5276074;0.89411766;7;6;1;0;0;7;38;3;0;0;2;0;7;75;46;0.0371312309257;0.107324516785;0.198880976602;0.162258392675;0.00203458799593;0.0422177009156;0.0778229908444;0.106307222787;0.0106815869786;0.0132248219736;0.087487283825;0.154628687691;19;19;0
AT-Humboldt;3;5;0;0;8;0.029411764;0.3680982;0.60119045;0.369863;0.24528303;0.6248062;0.71192055;0.2;0.21582733;0.30973452;0.3260394;0.0;2;2;0;2;0;0;0;0;0;0;1;3;15;112;34;0.00568181818182;0.0681818181818;0.0573863636364;0.0460227272727;0.0738636363636;0.228977272727;0.244318181818;0.00340909090909;0.0681818181818;0.119318181818;0.0846590909091;0.0;32;32;0

TokyoTech2006;4;11;1;0;16;0.034722223;0.12158809;0.59166664;0.7659064;0.046511626;0.3156682;0.32297062;0.49006622;0.1880342;0.28395063;0.3531915;0.4675;12;11;1;6;0;6;39;10;1;0;9;1;17;100;40;0.00258665287118;0.0253491981376;0.183652353854;0.330056906363;0.00103466114847;0.0708742886705;0.0967408173823;0.114847387481;0.0113812726332;0.0237972064149;0.0429384376617;0.0967408173823;22;22;0
CZU;7;3;0;0;10;0.315;0.37446808;0.30246914;0.51282055;0.12362031;0.43523315;0.421659;0.48837208;0.1092437;0.27333334;0.58312653;0.56944443;1;1;0;0;0;1;3;1;0;0;1;10;10;83;20;0.089552238806;0.0625444207534;0.0348258706468;0.0426439232409;0.0398009950249;0.179104477612;0.130063965885;0.0149253731343;0.0646766169154;0.116560056859;0.167022032694;0.0582800284293;22;22;0


Group D
