;aa_gamesplayed;attacks_BROKEN;attacks_FAST;attacks_MEDIUM;attacks_SLOW;attacks_total;dominance_leftwing_1stquarter;dominance_leftwing_2ndquarter;dominance_leftwing_3rdquarter;dominance_leftwing_4thquarter;dominance_middlewing_1stquarter;dominance_middlewing_2ndquarter;dominance_middlewing_3rdquarter;dominance_middlewing_4thquarter;dominance_rightwing_1stquarter;dominance_rightwing_2ndquarter;dominance_rightwing_3rdquarter;dominance_rightwing_4thquarter;goalmisses;goalmisses_GOALIE_CATCHED;goalmisses_OUTSIDE;goalmisses_kickedfrom_FAR_SHOT;goalmisses_kickedfrom_GOAL_AREA;goalmisses_kickedfrom_PENALTY_AREA;goalopportunities;goals;goals_kickedfrom_FAR_SHOT;goals_kickedfrom_GOAL_AREA;goals_kickedfrom_PENALTY_AREA;goalssuffered;passchains;passes;passmisses;timein_leftwing_1stquarter;timein_leftwing_2ndquarter;timein_leftwing_3rdquarter;timein_leftwing_4thquarter;timein_middlewing_1stquarter;timein_middlewing_2ndquarter;timein_middlewing_3rdquarter;timein_middlewing_4thquarter;timein_rightwing_1stquarter;timein_rightwing_2ndquarter;timein_rightwing_3rdquarter;timein_rightwing_4thquarter;wingchanges;wingchanges_partialvariation;wingchanges_totalvariation
Bahia2D;7;71;6;5;0;82;0.213464366;0.91920755;2.50390708;1.05107938;1.520168864;3.24862209;3.39341459;1.38462115;0.40022979;1.14069077;3.02069856;1.9388492;9;8;1;5;0;4;10;2;0;0;2;113;95;710;283;0.0589429669277;0.34792175255;0.562031781289;0.0649728330521;0.383244785054;2.16993405728;1.58909361954;0.11561291053;0.151369416326;0.39518341589;0.903110159335;0.25858230223;92;92;0
DAInamite;9;51;49;8;0;108;1.59462481;2.85874412;4.02558324;4.0597104;4.05957942;5.65495247;4.9649483;3.32764799;1.397469576;3.34720105;5.16328536;4.91575538;26;25;1;21;1;4;58;13;0;1;12;12;207;1507;266;0.203913713729;0.657446904998;0.959988241328;0.367998360278;0.21984822116;1.32436215071;1.80888693267;0.264046497847;0.193595329078;0.798439820743;1.59186426324;0.609609564218;208;208;0
RoboSampad;7;40;98;15;0;153;0.82417381;1.89016267;3.4421344;4.07047948;1.388222874;1.85025953;2.25656033;1.50024934;1.02242239;1.65274397;4.23135599;4.98313713;21;13;8;5;1;15;79;27;1;1;25;7;66;488;152;0.0361690601391;0.400863015085;1.10682229051;1.16393356561;0.0413165172777;0.549362827963;0.723692247498;0.174672572547;0.0598838092929;0.333415826071;1.23593593131;1.1739323367;102;102;0
RoboSina;11;40;26;5;0;71;2.354481374;3.65216674;5.05649501;6.15344559;3.55051549;4.77443682;4.91980794;6.00271108;1.550207566;3.66032739;5.54000598;6.09770693;21;21;0;5;1;15;59;13;0;1;12;24;123;914;495;0.24528940321;0.882965547927;1.13217245121;0.649026386603;0.475972257987;2.19590055623;1.63311507334;0.66544363877;0.183305981669;1.04652597593;1.25795120924;0.63233151789;125;125;0
DAINAMITE;8;29;64;3;0;96;1.206456276;3.55810245;4.02637067;5.47858015;2.123410187;3.10620412;3.16363851;3.15676427;1.392515095;3.44961915;3.96124034;4.93701991;21;17;4;11;0;10;87;9;0;1;8;6;172;1179;386;0.0757237277464;0.615937592839;1.62083791016;1.19179774177;0.104515864041;0.519215884958;1.05252162305;0.46608418391;0.0813502783655;0.429920237961;0.909393752204;0.932701202992;122;122;0
FCPortugal2006;7;72;34;7;0;113;0.976277536;1.97400236;2.64751345;3.43435674;2.67435725;1.38585346;2.210572;2.5537711;0.554912831;1.71124463;2.45313364;3.60924517;20;19;1;7;0;13;42;2;0;0;2;3;49;491;354;0.0878865564717;0.767487325543;0.934860853692;0.939566033662;0.16440958785;0.652990887745;0.754062452374;0.330040479071;0.0630054450648;0.594516196331;0.88354224812;0.827631934074;110;110;0
AmoyNQ;5;32;28;4;0;64;1.14023854;1.54630572;1.72557;1.78414672;0.972920448;1.83863502;1.181908925;1.42427678;2.12640018;1.89761458;1.54766232;1.91305039;14;12;2;14;0;0;32;15;2;2;10;0;40;346;191;0.226996005875;0.677784509915;0.568680585589;0.276825575581;0.0425687000393;0.712090558205;0.734237427614;0.257762381513;0.073935373236;0.446225945291;0.627022398027;0.355870539116;58;58;0
opuCI_2D;7;46;20;2;0;68;0.683631151;1.13766668;1.700320889;1.94361966;1.37747992;2.54288206;1.89211601;0.52605575;0.766175843;1.7558489;2.11610034;3.32754876;4;4;0;4;0;0;10;4;1;1;3;21;60;465;187;0.224605549774;0.631998874617;0.468643441926;0.181831099599;0.478043153094;2.03072828612;0.707379561267;0.0568814411714;0.213240954102;0.795414788447;0.726993114197;0.484239735689;60;60;0
Hfut_Engine;7;35;20;2;0;57;1.597675315;1.72875734;1.77287629;2.11892621;1.18697376;1.82617767;1.95146904;1.1278786;1.54347275;1.81137296;2.38169084;2.56250649;11;10;1;7;0;4;23;11;1;0;9;7;46;429;220;0.458832914341;0.601185773149;0.475755249157;0.433745504983;0.287214515425;1.35616761604;1.00386354389;0.130719096405;0.301838144053;0.653326561431;0.809594638791;0.487756442329;77;77;0
Incredibles;7;36;83;6;0;125;1.447555287;3.08738833;3.7556434;3.85169569;1.539800313;2.32415943;2.92119187;2.59789014;1.62480268;3.19400441;3.53077941;3.850169;27;25;2;8;1;18;57;4;0;0;4;8;117;801;339;0.0668108850934;0.380328982014;1.20075665097;0.832000631735;0.0864673111966;0.518073124154;0.925714799072;0.253874754304;0.0302963537587;0.382524934585;1.08208675678;1.24106481633;149;149;0
YowAI;5;13;32;1;0;46;0.425992164;2.61463127;3.0328158;2.56514034;0.5949767;2.53923467;2.47796661;1.18154023;0.60777141;2.8176322;2.77713413;2.95310855;24;23;1;11;3;10;32;11;1;0;10;15;63;455;191;0.0899452895772;0.264742642256;0.656326232178;0.287829803071;0.147767096392;0.633529453495;1.07254301145;0.164358409927;0.132562648246;0.498229738914;0.587190398181;0.464975276313;71;71;0
Brasil2D;5;20;4;2;0;26;0.395971342;0.689018627;0.67900687;1.09866964;0.81261967;0.81578132;0.99278064;0.761717442;0.312306389;0.630193556;1.380480276;1.24317476;0;0;0;0;0;0;0;0;0;0;0;72;14;230;193;0.245780043444;0.398985263271;0.169515438857;0.0453146753741;0.773444163722;1.49044196322;0.640818139656;0.033364271987;0.159118303659;0.431893160774;0.408792085571;0.20253249047;17;17;0
